,Year of Car,Make of Car,Model,Price of Car,Location of Car,Kilometers,Diseal/Petrol,Body,Owner
0,2014,Maruti Suzuki,Wagon R 1.0 VXI,3 Lakhs,Delhi,"47,951 Kms",Petrol,Hatchback,1st Owner
1,2014,Maruti Suzuki,Wagon R LXI,3 Lakhs,Ghaziabad,"47,951 Kms",Petrol,Hatchback,2nd Owner
2,2013,Hyundai,I10 MAGNA 1.2,3 Lakhs,Noida,"33,375 Kms",Petrol,Hatchback,1st Owner
3,2013,Hyundai,I10 MAGNA 1.2,3 Lakhs,Noida,"33,375 Kms",Petrol,Hatchback,1st Owner
4,2012,Hyundai,I10 MAGNA 1.2,3 Lakhs,Ghaziabad,"44,000 Kms",Petrol,Hatchback,1st Owner
5,2012,Nissan,Sunny XV DIESEL,2 Lakhs,Faridabad,1.37 Lakhs Kms,Diesel,SUV,2nd Owner
6,2013,Renault,Duster 85 PS RXE DIE...,3.25 Lakhs,Delhi,"93,000 Kms",Diesel,SUV,1st Owner
7,2014,Mahindra,Quanto C8,3.5 Lakhs,Gurgaon,"76,949 Kms",Diesel,SUV,1st Owner
8,2016,Mahindra,Kuv100 K2 6 STR,3.75 Lakhs,Noida,"39,477 Kms",Petrol,SUV,1st Owner
9,2013,Renault,Duster RXL PLUS DIES...,4.25 Lakhs,Gurgaon,"90,923 Kms",Diesel,SUV,1st Owner
10,2013,Toyota,Fortuner 3.0 AT 4X2,12.7 Lakhs,Delhi,1.38 Lakhs Kms,Diesel,SUV,1st Owner
11,2013,Hyundai,Grand I10 SPORTZ 1.2...,4 Lakhs,Faridabad,"77,000 Kms",Petrol,Hatchback,1st Owner
12,2011,Toyota,Fortuner 2.8 4WD MT,9.5 Lakhs,Delhi,"94,000 Kms",Diesel,SUV,2nd Owner
13,2010,Hyundai,I10 MAGNA 1.2,1.75 Lakhs,Faridabad,"56,000 Kms",Petrol,Hatchback,1st Owner
14,2011,Hyundai,Santro Xing GLS,2.2 Lakhs,Gurgaon,"57,124 Kms",Petrol,Hatchback,1st Owner
15,2012,Hyundai,I10(2010_2017) SPORT...,3.35 Lakhs,Delhi,"17,800 Kms",Petrol,Hatchback,1st Owner
16,2015,Maruti Suzuki,Wagon R 1.0  LXI CNG,3.45 Lakhs,Faridabad,"63,246 Kms","CNG
                                        +  CNG Kit",Hatchback,1st Owner
17,2015,Maruti Suzuki,Wagon R 1.0  LXI CNG,3.45 Lakhs,Faridabad,"63,246 Kms","CNG
                                        +  CNG Kit",Hatchback,1st Owner
18,2016,Mahindra,Kuv100(2016_2017) K6...,3.5 Lakhs,Delhi,"62,000 Kms",Diesel,SUV,2nd Owner
19,2017,Maruti Suzuki,Eeco 5 STR CNG WITH ...,3.55 Lakhs,Noida,"42,000 Kms","CNG
                                        +  CNG Kit",Van,1st Owner
20,2009,Honda,City  1.5 V AT,3.8 Lakhs,Delhi,"90,534 Kms",Petrol,Sedan,1st Owner
21,2016,Mahindra,Kuv100  K2 D 6 STR,4.25 Lakhs,Delhi,"12,235 Kms",Diesel,SUV,1st Owner
22,2013,Chevrolet,Tavera  LT 9 STR,4.25 Lakhs,Delhi,"99,000 Kms",Diesel,MUV,1st Owner
23,2015,Honda,Jazz  1.2 SVMT,4.6 Lakhs,Delhi,"42,229 Kms",Petrol,Hatchback,1st Owner
24,2018,Hyundai,Grand I10 MAGNA 1.2 ...,4.65 Lakhs,Noida,"64,000 Kms",Petrol,Hatchback,1st Owner
25,2017,Maruti Suzuki,Celerio  ZXI AMT,4.75 Lakhs,Delhi,"16,000 Kms",Petrol,Hatchback,1st Owner
26,2014,Skoda,Rapid 1.6 TDI MT AMB...,4.75 Lakhs,Delhi,"44,171 Kms",Diesel,Sedan,1st Owner
27,2015,Hyundai,I20(2015_2017) MAGNA...,4.95 Lakhs,Gurgaon,"41,443 Kms",Petrol,Hatchback,1st Owner
28,2018,Maruti Suzuki,Swift(2018_2019)  LDI,4.95 Lakhs,Delhi,"62,000 Kms",Diesel,Hatchback,1st Owner
29,2014,Nissan,Sunny  XV PETROL,5 Lakhs,Delhi,"52,000 Kms",Petrol,Sedan,1st Owner
30,2014,Nissan,Terrano  XL D,4.5 Lakhs,Delhi,"67,841 Kms",Diesel,SUV,1st Owner
31,2013,Renault,Duster  110 PS RXZ,4.5 Lakhs,Delhi,"80,000 Kms",Diesel,SUV,1st Owner
32,2012,Skoda,Yeti AMBITION 2.0 TD...,4.65 Lakhs,Delhi,"79,211 Kms",Diesel,SUV,1st Owner
33,2014,Nissan,Terrano XL 1.5 85 PS...,4.65 Lakhs,Gurgaon,"79,168 Kms",Diesel,SUV,2nd Owner
34,2014,Ford,Ecosport TITANIUM 1....,4.75 Lakhs,Ghaziabad,"80,777 Kms",Diesel,SUV,2nd Owner
